Region,#Locations,Army,Navy,Marine_Corps,Airforce,Total,Percent,Month
Europe,34.0,605.0,168.0,,,773.0,39.4,October 2020
Japan,34.0,69.0,291.0,373.0,,733.0,37.3,October 2020
Korea,16.0,432.0,25.0,,,457.0,23.3,October 2020
Total,84.0,1106.0,484.0,373.0,,1963.0,,October 2020
Europe,34.0,605.0,168.0,,,773.0,40.0,November 2020
Japan,34.0,72.0,260 s/b 291 371,,703.0,36.4,,November 2020
Korea,16.0,432.0,25.0,,,457.0,23.6,November 2020
Total,84.0,1109.0,453.0,371.0,,1933.0,,November 2020
Europe,34.0,605.0,168.0,,,773.0,39.5,December 2020
Japan,34.0,66.0,291.0,372.0,,729.0,37.2,December 2020
Korea,16.0,432.0,25.0,,,457.0,23.3,December 2020
Total,84.0,1103.0,484.0,372.0,,1959.0,,December 2020
Europe,34.0,605.0,168.0,,,773.0,39.4,January 2021
Japan,34.0,66.0,291.0,372.0,,729.0,37.2,January 2021
Korea,16.0,435.0,25.0,,,460.0,23.4,January 2021
Total,84.0,1106.0,484.0,372.0,,1962.0,,January 2021
Europe,34.0,593.0,168.0,,,761.0,39.0,February 2021
Japan,34.0,66.0,291.0,376.0,,733.0,37.6,February 2021
Korea,16.0,433.0,25.0,,,458.0,23.5,February 2021
Total,84.0,1092.0,484.0,376.0,,1952.0,,February 2021
Europe,34.0,599.0,168.0,,,767.0,39.7,March 2021
Japan,32.0,60.0,292.0,355.0,,707.0,36.6,March 2021
Korea,16.0,433.0,25.0,,,458.0,23.7,March 2021
Total,82.0,1092.0,485.0,355.0,,1932.0,,March 2021
Europe,34.0,599.0,168.0,,,767.0,39.7,April 2021
Japan,32.0,60.0,292.0,355.0,,707.0,36.6,April 2021
Korea,16.0,433.0,25.0,,,458.0,23.7,April 2021
Total,82.0,1092.0,485.0,355.0,,1932.0,,April 2021
Europe,34.0,599.0,168.0,,,767.0,39.7,April 2021
Japan,32.0,60.0,292.0,355.0,,707.0,36.6,April 2021
Korea,16.0,433.0,25.0,,,458.0,23.7,April 2021
Total,82.0,1092.0,485.0,355.0,,1932.0,,April 2021
Europe,34.0,588.0,168.0,,,756.0,38.9,May 2021
Japan,33.0,60.0,292.0,381.0,,733.0,37.8,May 2021
Korea,16.0,428.0,24.0,,,452.0,23.3,May 2021
Total,83.0,1076.0,484.0,381.0,,1941.0,,May 2021
Europe,34.0,588.0,168.0,,,756.0,38.9,June 2021
Japan,33.0,60.0,291.0,381.0,,732.0,37.7,June 2021
Korea,16.0,428.0,26.0,,,454.0,23.4,June 2021
Total,83.0,1076.0,485.0,381.0,,1942.0,,June 2021
Europe,34.0,588.0,168.0,,,756.0,38.9,June 2021
Japan,33.0,60.0,291.0,381.0,,732.0,37.7,June 2021
Korea,16.0,428.0,26.0,,,454.0,23.4,June 2021
Total,83.0,1076.0,485.0,381.0,,1942.0,,June 2021
Europe,34.0,588.0,168.0,,,756.0,38.9,July 2021
Japan,34.0,66.0,291.0,381.0,,738.0,38.0,July 2021
Korea,16.0,423.0,26.0,,,449.0,23.1,July 2021
Total,84.0,1077.0,485.0,381.0,,1943.0,,July 2021
Europe,34.0,588.0,168.0,,,756.0,38.9,July 2021
Japan,34.0,66.0,291.0,381.0,,738.0,38.0,July 2021
Korea,16.0,423.0,26.0,,,449.0,23.1,July 2021
Total,84.0,1077.0,485.0,381.0,,1943.0,,July 2021
Europe,34.0,590.0,168.0,,,758.0,39.0,August 2021
Japan,34.0,66.0,291.0,381.0,,738.0,37.9,August 2021
Korea,16.0,423.0,26.0,,,449.0,23.1,August 2021
Total,84.0,1079.0,485.0,381.0,,1945.0,,August 2021
Europe,34.0,590.0,168.0,,,758.0,39.0,August 2021
Japan,34.0,66.0,291.0,381.0,,738.0,37.9,August 2021
Korea,16.0,423.0,26.0,,,449.0,23.1,August 2021
Total,84.0,1079.0,485.0,381.0,,1945.0,,August 2021
Europe,33.0,576.0,168.0,,,744.0,38.6,September 2021
Japan,34.0,66.0,291.0,381.0,,738.0,38.3,September 2021
Korea,16.0,421.0,26.0,,,447.0,23.2,September 2021
Total,83.0,1063.0,485.0,381.0,,1929.0,,September 2021
Europe,33.0,576.0,168.0,,,744.0,38.6,September 2021
Japan,34.0,66.0,291.0,381.0,,738.0,38.3,September 2021
Korea,16.0,421.0,26.0,,,447.0,23.2,September 2021
Total,83.0,1063.0,485.0,381.0,,1929.0,,September 2021
