Country,Installation,FY16,FY17,FY18,FY19,FY20,FY21,FY20 thru SEP,FY21 thru SEP,FY22 thru SEP,ANNUALIZED FY20,ANNUALIZED FY21,ANNUALIZED FY22
Korea,Chin Hae $,123795.8,74906.95,130218.85,128157.5,247089.3,276261.7,247089.3,276261.7,277002.15,247089.3,276261.7,277002.15
Malaysia,Singapore,15014.8,146746.35,155803.95,214821.7,23179.05,,23179.05,,41720.35,23179.05,0.0,41720.35
Japan,Okinawa,387932.9,326327.1,302532.15,317370.75,226868.4,314512.55,226868.4,314512.55,323246.4,226868.4,314512.55,323246.4
Japan,New Sanno Hotel,741316.35,696355.3,703721.6,724738.45,517065.95,293880.4,517065.95,293880.4,785196.45,517065.95,293880.4,785196.45
Japan,Atsugi,935369.0,1026505.95,909859.05,1091262.75,870871.05,1193010.85,870871.05,1193010.85,867289.85,870871.05,1193010.85,867289.85
Japan,Sasebo,1604898.75,1427681.65,1712121.55,1558503.75,1401362.4,2001625.95,1401362.4,2001625.95,1986058.7,1401362.4,2001625.95,1986058.7
Japan,Yokosuka,2655260.45,3310376.25,3676224.15,4096874.4,2783059.7,3470057.2,2783059.7,3470057.2,4477661.75,2783059.7,3470057.2,4477661.75
Italy,Naples,699187.7,768914.15,705632.4,692151.2,417257.0,251802.2,417257.0,251802.2,742852.05,417257.0,251802.2,742852.05
Italy,Sigonella,321951.05,280598.35,446035.73,436141.25,305833.58,381040.65,305833.58,381040.65,496801.85,305833.58,381040.65,496801.85
Spain,Rota,711764.65,622481.7,622717.95,700480.15,421862.9,536806.11,421862.9,536806.11,713390.8,421862.9,536806.11,713390.8
Greece,Souda Bay,80447.65,83261.65,107511.2,63737.6,41223.0,,41223.0,,29308.35,41223.0,0.0,29308.35
Korea,Navy Club,,,,,,,,,,,,
