Country,Installation,Category,FY16,FY17,FY18,FY19,FY20,FY21,FY22,FY23,FY23 thru SEP,ANNUALIZED FY23,FY24 thru APR,ANNUALIZED FY24,Latitude,Longitude
Korea,Chin Hae,Slot Revenue,180813.56,107702.89,186026.95,178352.1,357443.06,375058.45,400476.4,309459.42,309459.42,309459.42,157027.3,269189.66,35.133025,128.71004
Malaysia,Singapore,Slot Revenue,21449.75,209637.55,222577,306888,33112.95,-30.5,59631,53384.2,53384.2,53384.2,23188.45,39751.63,1.280095,103.85095
Japan,Okinawa,Slot Revenue,482923.16,409981.09,380989.25,395305.7,280698.3,389365.2,384308.95,354547.74,354547.74,354547.74,331033.25,567485.57,26.212401,127.68093
Japan,New Sanno Hotel,Slot Revenue,927183.13,866641.41,888156.3,902217.9,651836.1,367350.55,971662.15,998045.17,998045.17,998045.17,810238.15,1388979.69,35.64725,139.72484
Japan,Atsugi,Slot Revenue,1178216.09,1286398.7,1139178.4,1364078.3,1083616.25,1496235.9,1084112.55,1236282.94,1236282.94,1236282.94,774191.2,1327184.91,35.443082,139.36249
Japan,Sasebo,Slot Revenue,1997906.83,1778821.45,2139203.34,1930593.41,1772062.7,2481868.6,2468529.5,2176953.62,2176953.62,2176953.62,1353122.75,2319639,33.179915,129.71511
Japan,Yokosuka,Slot Revenue,3103960.35,3892849.94,4319686,4810613.27,3290195.85,4052650.5,5273958.35,5170637.21,5170637.21,5170637.21,3155148.55,5408826.09,35.281341,139.6722
Italy,Naples,Slot Revenue,991376.15,1116789.71,1010641.2,988787.35,588654,357618.25,1043952.36,1394530.52,1394530.52,1394530.52,904989.85,1551411.17,40.851775,14.268124
Italy,Sigonella,Slot Revenue,460034.89,401614.4,633632.05,619353.05,443036.55,545737.9,709716.65,729813.55,729813.55,729813.55,521716.79,894371.64,37.401667,14.922222
Spain,Rota,Slot Revenue,1016488.63,889430.76,889084.8,990879.9,615590.65,756131.05,1015218.1,927073.87,927073.87,927073.87,652325.9,1118272.97,36.62629,-6.362981
Greece,Souda Bay,Slot Revenue,114909.17,119409.74,153587.45,91053.7,58890,,41869.05,127717.88,127717.88,127717.88,86500.65,148286.83,35.53135,24.16091
Korea,Chin Hae,NAFI Reimbursement,123795.8,74906.95,130218.85,128157.5,247089.3,276261.7,277002.15,222094.95,222094.95,222094.95,104509.7,179159.49,35.133025,128.71004
Malaysia,Singapore,NAFI Reimbursement,15014.8,146746.35,155803.95,214821.7,23179.05,,41720.35,37650.2,37650.2,37650.2,16305.4,27952.11,1.280095,103.85095
Japan,Okinawa,NAFI Reimbursement,387932.9,326327.1,302532.15,317370.75,226868.4,314512.55,323246.4,291592.4,291592.4,291592.4,271451,465344.57,26.212401,127.68093
Japan,New Sanno Hotel,NAFI Reimbursement,741316.35,696355.3,703721.6,724738.45,517065.95,293880.4,785196.45,792149.65,792149.65,792149.65,644614.4,1105053.26,35.64725,139.72484
Japan,Atsugi,NAFI Reimbursement,935369,1026505.95,909859.05,1091262.75,870871.05,1193010.85,867289.85,990602.15,990602.15,990602.15,622236.3,1066690.8,35.443082,139.36249
Japan,Sasebo,NAFI Reimbursement,1604898.75,1427681.65,1712121.55,1558503.75,1401362.4,2001625.95,1986058.7,1789479.55,1789479.55,1789479.55,1070426.35,1835016.6,33.179915,129.71511
Japan,Yokosuka,NAFI Reimbursement,2655260.45,3310376.25,3676224.15,4096874.4,2783059.7,3470057.2,4477661.75,4489900.3,4489900.3,4489900.3,2681911.4,4597562.4,35.281341,139.6722
Italy,Naples,NAFI Reimbursement,699187.7,768914.15,705632.4,692151.2,417257,251802.2,742852.05,957935.75,957935.75,957935.75,666543.75,1142646.43,40.851775,14.268124
Italy,Sigonella,NAFI Reimbursement,321951.05,280598.35,446035.73,436141.25,305833.58,381040.65,496801.85,521201.65,521201.65,521201.65,376562.35,645535.46,37.401667,14.922222
Spain,Rota,NAFI Reimbursement,711764.65,622481.7,622717.95,700480.15,421862.9,536806.11,713390.8,658975.4,658975.4,658975.4,472515.6,810026.74,36.62629,-6.362981
Greece,Souda Bay,NAFI Reimbursement,80447.65,83261.65,107511.2,63737.6,41223,,29308.35,88497.3,88497.3,88497.3,61335.35,105146.31,35.53135,24.16091
