·Baumholder,Baumholder
Carrp Hurrphreys,Camp Humphreys
Carrp Muj uk Marines,Camp Mujuk Marines
Carrp Zama,Camp Zama
Fuji.Marines,Fuji Marines
Hol:ienfels,Hohenfels
Livomo,Livorno
Sanna Navy,Sanno Navy
S anna Navy,Sanno Navy
St_uttgart,Stuttgart
(Gain) /Loss on Disposals,(Gain)/Loss on Disposals
(Gain}/Loss on Disposals,(Gain)/Loss on Disposals
{Gain)/Loss on Disposals,(Gain)/Loss on Disposals
.Audit-Independent,Audit-Independent
Audi t_-Independent,Audit-Independent
Depreciation Expen·se,Depreciation Expense
Gaming N-1\-FI,Gaming NAFI
Gaming NAFI .,Gaming NAFI
Gaming NAFI.,Gaming NAFI
IT Expense & Maint°,IT Expense & Maint
~achine Expense & Maint,Machine Expense & Maint
Net Income/ (Loss),Net Income/(Loss)
Net Income/(Loss},Net Income/(Loss)
Net.Income/(Loss),Net Income/(Loss)
Net Operating Income/ (Loss),Net Operating Income/(Loss)
Net Operating Income/(Loss},Net Operating Income/(Loss)
Net· Operating Income/(Loss),Net Operating Income/(Loss)
Net·Revenue,Net Revenue
Non-Operating Inc/ (Exp),Non-Operating Inc/(Exp)
Non-Operating Inc/(Exp},Non-Operating Inc/(Exp)
Other Expenses·,Other Expenses
Total Operating.Expenses,Total Operating Expenses
TOY,TDY
Net'Operating Income/(Loss),Net Operating Income/(Loss)
Depreciation Expense·,Depreciation Expense
Audit-IMCOM Ifit Review,Audit-IMCOM Int Review
(Gain)/Loss.on Disposals,(Gain)/Loss on Disposals
(Gain}/Loss on.Disposals,(Gain)/Loss on Disposals
